Geography,key,value,total,order,region
Alabama,<10000,10.2,1837292,1,south
Alabama,10000 to 14999,7.2,1837292,2,south
Alabama,15000 to 24999,13,1837292,3,south
Alabama,25000 to 34999,11.5,1837292,4,south
Alabama,35000 to 49999,14.3,1837292,5,south
Alabama,75000 to 99999,10.8,1837292,6,south
Alabama,50000 to 74999,17.4,1837292,7,south
Alabama,100000 to 149999,10,1837292,8,south
Alabama,150000 to 199999,3.1,1837292,9,south
Alabama,200000+,2.5,1837292,10,south
Alaska,<10000,3.7,250875,11,west
Alaska,10000 to 14999,3.7,250875,12,west
Alaska,15000 to 24999,7.7,250875,13,west
Alaska,25000 to 34999,7.5,250875,14,west
Alaska,35000 to 49999,12,250875,15,west
Alaska,75000 to 99999,15.2,250875,16,west
Alaska,50000 to 74999,18.7,250875,17,west
Alaska,100000 to 149999,18.2,250875,18,west
Alaska,150000 to 199999,7.7,250875,19,west
Alaska,200000+,5.6,250875,20,west
Arizona,<10000,7.9,2381501,21,west
Arizona,10000 to 14999,5.5,2381501,22,west
Arizona,15000 to 24999,11.6,2381501,23,west
Arizona,25000 to 34999,11.3,2381501,24,west
Arizona,35000 to 49999,14.8,2381501,25,west
Arizona,75000 to 99999,11.5,2381501,26,west
Arizona,50000 to 74999,18.5,2381501,27,west
Arizona,100000 to 149999,11.5,2381501,28,west
Arizona,150000 to 199999,3.9,2381501,29,west
Arizona,200000+,3.4,2381501,30,west
Arkansas,<10000,9.7,1130417,31,south
Arkansas,10000 to 14999,7.8,1130417,32,south
Arkansas,15000 to 24999,14.3,1130417,33,south
Arkansas,25000 to 34999,12.4,1130417,34,south
Arkansas,35000 to 49999,15.1,1130417,35,south
Arkansas,75000 to 99999,9.8,1130417,36,south
Arkansas,50000 to 74999,17.6,1130417,37,south
Arkansas,100000 to 149999,8.8,1130417,38,south
Arkansas,150000 to 199999,2.5,1130417,39,south
Arkansas,200000+,2.1,1130417,40,south
California,<10000,6.1,12581722,41,west
California,10000 to 14999,5.3,12581722,42,west
California,15000 to 24999,9.9,12581722,43,west
California,25000 to 34999,9.2,12581722,44,west
California,35000 to 49999,12.4,12581722,45,west
California,75000 to 99999,11.9,12581722,46,west
California,50000 to 74999,16.9,12581722,47,west
California,100000 to 149999,14.6,12581722,48,west
California,150000 to 199999,6.5,12581722,49,west
California,200000+,7.2,12581722,50,west
Colorado,<10000,6.2,1989371,51,west
Colorado,10000 to 14999,4.4,1989371,52,west
Colorado,15000 to 24999,9.6,1989371,53,west
Colorado,25000 to 34999,9.7,1989371,54,west
Colorado,35000 to 49999,13.4,1989371,55,west
Colorado,75000 to 99999,13,1989371,56,west
Colorado,50000 to 74999,18.5,1989371,57,west
Colorado,100000 to 149999,14.2,1989371,58,west
Colorado,150000 to 199999,5.7,1989371,59,west
Colorado,200000+,5.3,1989371,60,west
Connecticut,<10000,5.9,1348275,61,northeast
Connecticut,10000 to 14999,4.2,1348275,62,northeast
Connecticut,15000 to 24999,8.5,1348275,63,northeast
Connecticut,25000 to 34999,8,1348275,64,northeast
Connecticut,35000 to 49999,10.9,1348275,65,northeast
Connecticut,75000 to 99999,12.8,1348275,66,northeast
Connecticut,50000 to 74999,16.6,1348275,67,northeast
Connecticut,100000 to 149999,16.5,1348275,68,northeast
Connecticut,150000 to 199999,7.6,1348275,69,northeast
Connecticut,200000+,9,1348275,70,northeast
Delaware,<10000,5.7,337245,71,south
Delaware,10000 to 14999,4.2,337245,72,south
