"Date received",Product,Sub-product,Company,State,"ZIP code","Consumer consent provided?","Submitted via","Company response to consumer","Timely response?","Consumer disputed?"
2013-11-21,"Debt collection","Federal student loan","URS Holding, LLC",SC,29016,,Web,"Closed with explanation",1,0
2016-06-07,Mortgage,"Other mortgage","Fay Servicing, LLC",CA,90274,"Consent not provided",Web,"Closed with explanation",1,1
2014-03-04,"Bank account or service","Savings account","M&T Bank Corporation",PA,18618,,Phone,"Closed with explanation",1,0
2014-03-29,"Credit card",,"Synchrony Financial",VA,24593,,Web,"Closed with non-monetary relief",1,0
2012-02-27,"Credit card",,"JPMorgan Chase & Co.",NY,11217,,Web,"Closed with relief",1,0
2013-07-12,"Bank account or service","Checking account","SunTrust Banks, Inc.",GA,30083,,Phone,"Closed with explanation",1,0
2013-04-08,Mortgage,"Other mortgage",Ocwen,CA,91204,,"Postal mail","Closed with explanation",1,0
2016-04-25,"Debt collection","Other (i.e. phone, health club, etc.)","American Collections Enterprise, Inc.",MD,209XX,"Consent provided",Web,"Closed with explanation",1,0
2013-09-08,"Bank account or service","Other bank product/service","Community Choice Financial, Inc.",TX,75206,,Web,"Closed with explanation",1,0
2014-08-12,"Credit reporting",,Equifax,FL,34231,,Web,"Closed with explanation",1,0
2016-08-08,"Debt collection","I do not know","Transworld Systems Inc.",IL,604XX,"Consent provided",Web,"Closed with explanation",1,0
2015-04-22,"Debt collection","Credit card","Bank of America",NJ,7648,,Referral,"Closed with explanation",1,1
2014-04-14,"Credit card",,"Wells Fargo & Company",MI,48111,,Phone,"Closed with explanation",1,0
2014-04-29,"Debt collection","Other (i.e. phone, health club, etc.)","EOS Holdings, Inc.",GA,30813,,Web,"Closed with non-monetary relief",1,0
2015-08-04,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",CA,92677,"Consent not provided",Web,"Closed with explanation",1,0
2015-08-24,"Credit reporting",,CoreLogic,CA,948XX,"Consent provided",Web,"Closed with explanation",1,0
2016-03-27,"Credit reporting",,Equifax,NJ,088XX,"Consent provided",Web,"Closed with explanation",1,0
2016-03-21,Mortgage,"Other mortgage",Ocwen,NY,11509,,Referral,"Closed with explanation",1,0
2015-05-05,"Bank account or service","Checking account","Wells Fargo & Company",NJ,8543,"Consent not provided",Web,"Closed with explanation",1,0
2015-05-28,"Credit card",,"JPMorgan Chase & Co.",NC,282XX,"Consent provided",Web,"Closed with explanation",1,1
2015-12-24,"Debt collection","I do not know","Midwest Recovery Systems",SD,575XX,"Consent provided",Web,"Closed with explanation",0,0
2015-10-23,Mortgage,"FHA mortgage","Wells Fargo & Company",AL,361XX,"Consent provided",Web,"Closed with explanation",1,1
2016-11-01,"Debt collection","Other (i.e. phone, health club, etc.)","Stellar Recovery Inc.",FL,33431,"Consent not provided",Web,"Closed with explanation",1,1
2016-07-07,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",NY,11226,"Consent not provided",Web,"Closed with non-monetary relief",1,0
2014-11-18,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",CA,91343,,"Postal mail","Closed with explanation",1,0
2013-12-30,"Credit card",,"USAA Savings",AE,9630,,Web,"Closed with explanation",1,0
2013-08-25,Mortgage,"Other mortgage","MidAmerica Mortgage Inc",CA,90815,,Web,"Closed with explanation",1,1
2016-02-01,Mortgage,"Conventional fixed mortgage","Caliber Home Loans, Inc",NY,10473,,Phone,"Closed with explanation",1,0
2012-11-15,"Credit card",,"Synchrony Financial",DE,19720,,Web,"Closed with explanation",1,0
2015-01-20,Mortgage,"Other mortgage","Nationstar Mortgage",FL,33173,,Referral,"Closed with explanation",1,0
2014-07-11,"Debt collection",Mortgage,"U.S. Bancorp",MN,55443,,"Postal mail","Closed with explanation",1,1
2013-09-16,"Credit card",,"Expert Global Solutions, Inc.",VA,22304,,Web,"Closed with explanation",1,0
2014-12-22,"Credit reporting",,Experian,VA,23875,,Web,"Closed with non-monetary relief",1,0
2015-12-07,"Credit card",,"Synchrony Financial",MN,554XX,"Consent provided",Web,"Closed with monetary relief",1,0
2012-03-29,"Credit card",,"JPMorgan Chase & Co.",MA,1801,,Referral,"Closed without relief",1,0
2014-08-05,"Bank account or service","(CD) Certificate of deposit","Wells Fargo & Company",FL,32653,,"Postal mail","Closed with explanation",1,1
2014-02-20,Mortgage,"Other mortgage","Wells Fargo & Company",NV,89032,,Web,"Closed with explanation",1,0
2016-07-13,"Credit reporting",,"Fidelity National Information Services, Inc. (FNIS)",MN,55128,"Consent not provided",Web,"Closed with explanation",1,0
2015-09-18,"Credit card",,"Bank of America",NY,110XX,"Consent provided",Web,"Closed with explanation",1,1
2012-01-17,Mortgage,"Conventional fixed mortgage","Wells Fargo & Company",PA,18069,,Web,"Closed without relief",1,1
2015-05-29,Mortgage,"Conventional fixed mortgage","Seterus, Inc.",FL,333XX,Other,Web,"Closed with explanation",1,1
2014-03-05,"Debt collection","Credit card","Portfolio Recovery Associates, Inc.",MA,1604,,Web,"Closed with explanation",1,0
2014-02-04,"Debt collection","I do not know","Dynamic Recovery Solutions, LLC",CA,95954,,Web,"Closed with explanation",1,0
2015-07-11,"Debt collection",Medical,"Credico, Inc.",SD,571XX,"Consent provided",Web,"Closed with explanation",0,0
2013-01-10,Mortgage,"FHA mortgage",Citibank,MI,49404,,Web,"Closed with explanation",1,0
2016-07-19,"Credit card",,Citibank,CA,928XX,"Consent provided",Web,"Closed with monetary relief",1,0
2015-09-03,"Credit card",,Citibank,FL,33069,,"Postal mail","Closed with explanation",1,0
2016-07-12,"Credit reporting",,Equifax,AZ,85260,"Consent not provided",Web,"Closed with explanation",1,0
2015-05-25,"Credit reporting",,Equifax,MD,208XX,"Consent provided",Web,"Closed with explanation",1,0
2014-08-11,"Credit reporting",,Experian,MH,20782,,Web,"Closed with explanation",1,1
2015-01-22,"Debt collection","Credit card","Bank of America",NY,11230,,Referral,"Closed with explanation",1,0
