Area,Category Number,,,,,All,Major
,1,2,3,4,5,(1-5),(3-5)
Texas,23,17,12,7,0,59,19
Louisiana,17,14,13,4,1,49,18
Mississippi,2,5,7,0,1,15,8
Alabama,11,5,6,0,0,22,6
Florida,43,32,27,6,2,110,35
Georgia,12,5,2,1,0,20,3
South Carolina,19,6,4,2,0,31,6
North Carolina,21,13,11,1,0,46,12
Virginia,9,2,1,0,0,12,1
Maryland,1,1,0,0,0,2,0
Delaware,2,0,0,0,0,2,0
New Jersey,2,0,0,0,0,2,0
Pennsylvania,1,0,0,0,0,1,0
New York,6,1,5,0,0,12,5
Connecticut,4,3,3,0,0,10,3
Rhode Island,3,2,4,0,0,9,4
Massachusetts,5,2,3,0,0,10,3
New Hampshire,1,1,0,0,0,2,0
Maine,5,1,0,0,0,6,0
